key,key:manager,tag,indication,cost,description
airport-01,manager-01,Lorem ipsum dolor sit ame,True,EUR 500000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
airport-02,manager-02,L,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-03,manager-01,Lo,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-04,manager-02,Esto es ,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-05,manager-01,Esto es un texto de ejemplo,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-06,manager-02,Esto es un texto de ejemplo mas largo,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-07,manager-01,"1234 .-,$%&/()?¿!1ª",True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-08,manager-02,โลเร็ม อิปซัม,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-09,manager-01,لوريم إيبسوم,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-10,manager-02,洛伦·伊普森,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-11,manager-01,<marquee>Hacked</marquee>,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-12,manager-02,<script>alert(‘Hacked!’);</script>,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-13,manager-01,'' or 'A' = 'A ,True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-14,manager-02,"Lorem ipsum dolor sit amet, consectetur adipiscin",True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-15,manager-01,"Lorem ipsum dolor sit amet, consectetur adipiscing",True,EUR 500000.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-16,manager-02,Lorem ipsum dolor sit ame,False,EUR 0.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-17,manager-01,Lorem ipsum dolor sit ame,True,EUR 0.01,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-18,manager-02,Lorem ipsum dolor sit ame,True,GBP 30.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-19,manager-01,Lorem ipsum dolor sit ame,True,GBP 12345.00,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-20,manager-02,Lorem ipsum dolor sit ame,True,DOL 667755.12,Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*
airport-21,manager-01,Lorem ipsum dolor sit amet,True,DOL 889900.56,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
airport-22,manager-02,Lorem ipsum dolor sit amet,False,EUR 999999.99,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
airport-23,manager-01,Lorem ipsum dolor sit amet,True,EUR 1000000.00,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*"
airport-24,manager-02,Lorem ipsum dolor sit amet,True,EUR 475000.00,"L"
airport-25,manager-01,Lorem ipsum dolor sit amet,False,EUR 510000.00,"Lo"
